Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage
Initial,2023-01-02 09:15:00+05:30,44.65000153,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-02 10:15:00+05:30,44.75,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-02 11:15:00+05:30,44.59999847,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-02 12:15:00+05:30,44.59000015,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-02 13:15:00+05:30,44.54000092,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-02 14:15:00+05:30,44.29000092,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-02 15:15:00+05:30,44.31999969,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-03 09:15:00+05:30,44.84999847,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-03 12:15:00+05:30,44.75,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-03 13:15:00+05:30,44.59999847,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-03 14:15:00+05:30,44.61000061,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-03 15:15:00+05:30,44.63999939,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-04 09:15:00+05:30,44.47000122,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-04 10:15:00+05:30,44.40999985,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-04 11:15:00+05:30,44.22000122,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-04 14:15:00+05:30,44.58000183,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-04 15:15:00+05:30,44.18999863,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
No Signal,2023-01-05 09:15:00+05:30,44.29999924,0,0,0,100000,,100000,12,17,,0.370337122,2.667433764
Sell,2023-01-05 10:15:00+05:30,44.33000183,0,0,0,100000,Sell Hold,100000,12,17,,0.370337122,2.667433764
Short Sell,2023-01-05 10:15:00+05:30,44.33000183,2255,0,99964.15413,35.84587097,Sell Hold,100000,12,17,0,0.370337122,2.667433764
Buy,2023-01-05 11:15:00+05:30,44.15000153,2265,0,99999.75346,0.246543884,Buy,100035.5993,12,17,,0.370337122,2.667433764
Buy Hold,2023-01-05 11:15:00+05:30,44.15000153,2265,0,99999.75346,0.246543884,Buy Hold,100035.5993,12,17,0,0.370337122,2.667433764
Buy Hold,2023-01-05 12:15:00+05:30,44.20000076,2265,113.2482719,100113.0017,0.246543884,Buy Hold,100148.8476,12,17,0.113248551,0.370337122,2.667433764
Buy Hold,2023-01-05 13:15:00+05:30,44.13999939,2265,-135.9031105,99977.09862,0.246543884,Buy Hold,100012.9445,12,17,-0.135749711,0.370337122,2.667433764
Buy Hold,2023-01-05 14:15:00+05:30,44.34000015,1132,49784.21844,50192.88017,50237.46672,Buy Hold,100430.3469,12,17,0.453105495,0.370337122,2.667433764
Buy Hold,2023-01-05 15:15:00+05:30,44.41999817,1132,90.55775452,50283.43793,0.246543884,Buy Hold,100520.9046,12,17,100.4493376,0.370337122,2.667433764
Buy Hold,2023-01-06 09:15:00+05:30,44.5,1132,90.56207275,50374,0.246543884,Buy Hold,100611.4667,12,17,100.4487047,0.370337122,2.667433764
Buy Hold,2023-01-06 10:15:00+05:30,44.25,1132,-283,50091,0.246543884,Buy Hold,100328.4667,12,17,98.96424743,0.370337122,2.667433764
Buy Hold,2023-01-06 11:15:00+05:30,44.20999908,1132,-45.28103638,50045.71896,0.246543884,Buy Hold,100283.1857,12,17,99.90746427,0.370337122,2.667433764
Buy Hold,2023-01-06 12:15:00+05:30,44.25999832,1132,56.59913635,50102.3181,0.246543884,Buy Hold,100339.7848,12,17,100.3146289,0.370337122,2.667433764
Buy Hold,2023-01-06 13:15:00+05:30,44.09999847,1132,-181.1198273,49921.19827,0.246543884,Buy Hold,100158.665,12,17,99.36502009,0.370337122,2.667433764
Buy Hold,2023-01-06 14:15:00+05:30,44.24000168,1132,158.4836273,50079.6819,0.246543884,Buy Hold,100317.1486,12,17,100.7235549,0.370337122,2.667433764
